D:\python36\python.exe C:/Users/skydownacai/PycharmProjects/统计建模/lstmsample.py
Using TensorFlow backend.
2019-04-23 22:50:34.924038: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
6 ; 4 ; 10 ; 0.8680790203192994 ; 0.8232536567916098
6 ; 4 ; 20 ; 0.8573925053414335 ; 0.8173184996105944
6 ; 4 ; 50 ; 0.8261267772121671 ; 0.7737954091008957
6 ; 4 ; 100 ; 0.8026514370138548 ; 0.7513588063872929
6 ; 4 ; 200 ; 0.779134294276513 ; 0.7386444786480522
6 ; 4 ; 300 ; 0.7733250685369322 ; 0.7395978453137705
6 ; 4 ; 400 ; 0.7666268826973257 ; 0.7351519931884531
6 ; 4 ; 500 ; 0.7601599362386681 ; 0.7383266903040957
6 ; 4 ; 700 ; 0.7648290318371956 ; 0.7340238180505484
6 ; 4 ; 1000 ; 0.7531461808016674 ; 0.7429140062033024
6 ; 8 ; 10 ; 0.8560021486568701 ; 0.8067954460161942
6 ; 8 ; 20 ; 0.8425201832797741 ; 0.793150690983967
6 ; 8 ; 50 ; 0.8118684305070156 ; 0.7612737638676175
6 ; 8 ; 100 ; 0.7977070805921034 ; 0.7452921064873956
6 ; 8 ; 200 ; 0.7850897370538265 ; 0.7357103547036387
6 ; 8 ; 300 ; 0.7725433316975873 ; 0.7345884494515117
6 ; 8 ; 400 ; 0.7685133720758142 ; 0.7382275117605228
6 ; 8 ; 500 ; 0.7680087565921925 ; 0.7369249399814946
6 ; 8 ; 700 ; 0.7563955258087157 ; 0.7362267194655527
6 ; 8 ; 1000 ; 0.7509662266783727 ; 0.742610730522867
6 ; 12 ; 10 ; 0.855857631712488 ; 0.8099255621270823
6 ; 12 ; 20 ; 0.8362299074271335 ; 0.7884995480071999
6 ; 12 ; 50 ; 0.8157732964631322 ; 0.768319249452052
6 ; 12 ; 100 ; 0.7937392858916996 ; 0.7449787547180992
6 ; 12 ; 200 ; 0.7784771723766374 ; 0.7347696744391271
6 ; 12 ; 300 ; 0.773552617634222 ; 0.7424015103124827
6 ; 12 ; 400 ; 0.7722576014644623 ; 0.739083817888174
6 ; 12 ; 500 ; 0.7704155311751512 ; 0.740137000011494
6 ; 12 ; 700 ; 0.7609950761791919 ; 0.7407752196180097
6 ; 12 ; 1000 ; 0.7402911785106208 ; 0.748882848535172
6 ; 16 ; 10 ; 0.8532622355378043 ; 0.8016916636144024
6 ; 16 ; 20 ; 0.8341610835711308 ; 0.7867312274090472
6 ; 16 ; 50 ; 0.8162436759015043 ; 0.7640549541721915
6 ; 16 ; 100 ; 0.7935532108915174 ; 0.7479570535460501
6 ; 16 ; 200 ; 0.780662244345344 ; 0.7380608349866709
6 ; 16 ; 300 ; 0.7730040714205179 ; 0.7360324036407334
6 ; 16 ; 400 ; 0.7713189824269184 ; 0.7416862526256444
6 ; 16 ; 500 ; 0.7613970467663583 ; 0.7370377923018029
6 ; 16 ; 700 ; 0.7509345321718917 ; 0.7477552398490354
6 ; 16 ; 1000 ; 0.7509031054560411 ; 0.7458190297149179
10 ; 4 ; 10 ; 0.8171587448820484 ; 0.7955618480740333
10 ; 4 ; 20 ; 0.7781999062823308 ; 0.7655251112791485
10 ; 4 ; 50 ; 0.7209498221879922 ; 0.729032074810112
10 ; 4 ; 100 ; 0.6856578518190756 ; 0.7091425934818304
10 ; 4 ; 200 ; 0.6809094026822846 ; 0.7128602322611741
10 ; 4 ; 300 ; 0.6479929192893129 ; 0.7072602044473981
10 ; 4 ; 400 ; 0.6533138566943624 ; 0.7005359048924718
10 ; 4 ; 500 ; 0.6319871572764152 ; 0.7226283512969529
10 ; 4 ; 700 ; 0.6250950284119969 ; 0.7277767850068934
10 ; 4 ; 1000 ; 0.6151305810859752 ; 0.7312292026481237
10 ; 8 ; 10 ; 0.7841482799893061 ; 0.7704723165856516
10 ; 8 ; 20 ; 0.7469098490790929 ; 0.7380744423781302
10 ; 8 ; 50 ; 0.7102779298077555 ; 0.7216048267767343
10 ; 8 ; 100 ; 0.6834710745955758 ; 0.7063646002716263
10 ; 8 ; 200 ; 0.6670662175151834 ; 0.7005482470160472
10 ; 8 ; 300 ; 0.6705652615799224 ; 0.6955669420482832
10 ; 8 ; 400 ; 0.643719783752601 ; 0.7058035033704156
10 ; 8 ; 500 ; 0.6216182920098892 ; 0.7247911410307123
10 ; 8 ; 700 ; 0.610310232168752 ; 0.7420330136918788
10 ; 8 ; 1000 ; 0.5872897402028829 ; 0.7615547263942998
10 ; 12 ; 10 ; 0.8042899934337971 ; 0.7667154859367008
10 ; 12 ; 20 ; 0.7444797779002087 ; 0.7369336007273727
10 ; 12 ; 50 ; 0.7132535605715361 ; 0.7251004801464968
10 ; 12 ; 100 ; 0.6853404023882091 ; 0.7095799694133059
10 ; 12 ; 200 ; 0.6655888705828686 ; 0.7054025398929733
10 ; 12 ; 300 ; 0.6454611132784561 ; 0.707875655257404
10 ; 12 ; 400 ; 0.6363548818873297 ; 0.7066488960535077
10 ; 12 ; 500 ; 0.617727341947189 ; 0.7295562440635904
10 ; 12 ; 700 ; 0.6080002598035613 ; 0.7394210334686112
10 ; 12 ; 1000 ; 0.5969570467636763 ; 0.76607224833343
10 ; 16 ; 10 ; 0.7700480061131612 ; 0.7530174366840131
10 ; 16 ; 20 ; 0.7416668846844515 ; 0.7472290519914054
10 ; 16 ; 50 ; 0.7079624729937454 ; 0.7218314123934492
10 ; 16 ; 100 ; 0.6848636063329024 ; 0.7109975591868593
