,name_datetime,I,LAT,LONG,PRES,WND,OWD,END_TAG
0,0001_2015011300,1,86,1428,1004,13, ,0
1,0001_2015011306,1,85,1423,1002,13, ,0
2,0001_2015011312,1,88,1416,1000,15, ,0
3,0001_2015011318,1,92,1408,1000,15, ,0
4,0001_2015011400,2,100,1398,998,18, ,0
5,0001_2015011406,2,104,1384,998,18, ,0
6,0001_2015011412,2,110,1372,998,18, ,0
7,0001_2015011418,2,113,1358,998,18, ,0
8,0001_2015011500,2,115,1347,995,20, ,0
9,0001_2015011506,2,117,1335,995,20, ,0
10,0001_2015011512,2,116,1327,995,20, ,0
11,0001_2015011518,2,116,1318,995,20, ,0
12,0001_2015011600,2,115,1306,992,23, ,0
13,0001_2015011606,3,114,1298,990,25, ,0
14,0001_2015011612,3,113,1287,985,28, ,0
15,0001_2015011618,3,111,1276,980,30, ,0
16,0001_2015011700,4,113,1268,975,33, ,0
17,0001_2015011706,4,119,1258,975,33, ,0
18,0001_2015011712,3,124,1250,985,28, ,0
19,0001_2015011718,2,127,1243,992,23, ,0
20,0001_2015011800,2,134,1236,995,20, ,0
21,0001_2015011806,2,140,1227,998,18, ,0
22,0001_2015011812,2,148,1224,998,18, ,0
23,0001_2015011818,1,158,1225,1000,15, ,0
24,0001_2015011900,1,165,1228,1002,13, ,0
25,0001_2015011906,1,168,1230,1002,13, ,0
26,0001_2015011912,1,168,1235,1004,13, ,0
27,0001_2015011918,1,167,1239,1004,13, ,0
28,0002_2015020612,1,83,1582,1004,13, ,0
29,0002_2015020618,1,90,1579,1004,13, ,0
30,0002_2015020700,1,96,1577,1002,15, ,0
31,0002_2015020706,1,102,1576,1002,15, ,0
32,0002_2015020712,1,108,1576,1002,15, ,0
33,0002_2015020718,2,115,1575,998,18, ,0
34,0002_2015020800,2,120,1573,990,23, ,0
35,0002_2015020806,2,122,1571,990,23, ,0
36,0002_2015020812,3,122,1568,985,25, ,0
37,0002_2015020818,3,122,1566,985,25, ,0
38,0002_2015020900,3,123,1564,980,30, ,0
39,0002_2015020906,4,124,1561,970,35, ,0
40,0002_2015020912,4,127,1557,970,35, ,0
41,0002_2015020918,4,130,1552,965,38, ,0
42,0002_2015021000,4,136,1547,965,38, ,0
43,0002_2015021006,5,142,1542,945,48, ,0
44,0002_2015021012,5,147,1540,955,42, ,0
45,0002_2015021018,4,151,1537,965,38, ,0
46,0002_2015021100,3,154,1533,980,30, ,0
47,0002_2015021106,2,156,1528,990,23, ,0
48,0002_2015021112,1,161,1525,1000,15, ,0
49,0002_2015021118,1,165,1521,1000,15, ,0
50,0002_2015021200,1,168,1522,1004,13, ,0
51,0002_2015021206,1,175,1526,1004,13, ,0
52,0003_2015031106,1,69,1699,1000,15, ,0
53,0003_2015031112,2,69,1690,998,18, ,0
54,0003_2015031118,2,73,1681,998,18, ,0
55,0003_2015031200,2,76,1670,998,18, ,0
56,0003_2015031206,2,82,1660,998,18, ,0
57,0003_2015031212,2,84,1645,998,18, ,0
58,0003_2015031218,2,85,1629,995,20, ,0
59,0003_2015031300,2,88,1611,995,20, ,0
60,0003_2015031306,2,90,1598,995,20, ,0
61,0003_2015031312,2,95,1588,995,20, ,0
62,0003_2015031318,2,107,1574,995,20, ,0
63,0003_2015031400,2,117,1553,995,20, ,0
64,0003_2015031406,2,125,1530,995,20, ,0
65,0003_2015031412,2,136,1508,990,23, ,0
66,0003_2015031418,2,139,1498,990,23, ,0
67,0003_2015031500,2,140,1483,990,23, ,0
68,0003_2015031506,2,139,1466,990,23, ,0
69,0003_2015031512,2,137,1447,990,23, ,0
70,0003_2015031518,2,134,1427,995,20, ,0
71,0003_2015031600,2,133,1409,995,20, ,0
72,0003_2015031606,2,137,1398,995,20, ,0
73,0003_2015031612,2,141,1387,995,20, ,0
74,0003_2015031618,2,147,1377,995,20, ,0
75,0003_2015031700,2,152,1362,998,18, ,0
76,0003_2015031706,2,154,1353,998,18, ,0
77,0003_2015031712,2,155,1345,998,18, ,0
78,0003_2015031718,1,158,1334,1000,15, ,0
79,0003_2015031800,1,159,1328,1000,15, ,0
80,0003_2015031806,1,161,1319,1000,15, ,0
81,0003_2015031812,1,161,1310,1004,13, ,0
82,0003_2015031818,1,160,1304,1004,13, ,0
