,name_datetime,I,LAT,LONG,PRES,WND,OWD,END_TAG
0,0001_1991030500,0,40,1520,1004,10, ,0
1,0001_1991030506,1,40,1510,1002,12, ,0
2,0001_1991030512,1,43,1501,1002,12, ,0
3,0001_1991030518,1,45,1493,1002,12, ,0
4,0001_1991030600,1,50,1485,1002,12, ,0
5,0001_1991030606,1,53,1480,1000,15, ,0
6,0001_1991030612,1,56,1473,1000,15, ,0
7,0001_1991030618,1,60,1466,1000,15, ,0
8,0001_1991030700,2,65,1460,998,20, ,0
9,0001_1991030706,2,69,1454,996,20, ,0
10,0001_1991030712,2,71,1445,996,20, ,0
11,0001_1991030718,2,71,1445,996,20, ,0
12,0001_1991030800,2,65,1441,992,20, ,0
13,0001_1991030806,3,63,1435,990,25, ,0
14,0001_1991030812,3,63,1425,990,25, ,0
15,0001_1991030818,3,63,1415,990,25, ,0
16,0001_1991030900,3,63,1409,985,25, ,0
17,0001_1991030906,3,63,1403,985,25, ,0
18,0001_1991030912,3,64,1395,985,25, ,0
19,0001_1991030918,3,65,1385,985,25, ,0
20,0001_1991031000,3,67,1376,980,30, ,0
21,0001_1991031006,3,68,1368,980,30, ,0
22,0001_1991031012,3,68,1360,980,30, ,0
23,0001_1991031018,3,69,1353,980,30, ,0
24,0001_1991031100,3,69,1345,980,30, ,0
25,0001_1991031106,3,69,1335,985,25, ,0
26,0001_1991031112,3,70,1324,985,25, ,0
27,0001_1991031118,3,73,1318,990,25, ,0
28,0001_1991031200,2,77,1310,990,20, ,0
29,0001_1991031206,2,83,1300,995,20, ,0
30,0001_1991031212,2,86,1288,995,20, ,0
31,0001_1991031218,2,90,1277,998,20, ,0
32,0001_1991031300,2,95,1261,998,20, ,0
33,0001_1991031306,2,105,1251,998,20, ,0
34,0001_1991031312,1,110,1240,998,15, ,0
35,0001_1991031318,1,113,1230,1000,15, ,0
36,0001_1991031400,1,115,1223,1000,15, ,0
37,0001_1991031406,1,105,1223,1000,15, ,0
38,0002_1991032000,1,35,1595,1002,15, ,0
