,name_datetime,I,LAT,LONG,PRES,WND,OWD,END_TAG
0,0001_1995042718,1,52,1662,1006,12, ,0
1,0001_1995042800,1,55,1663,1004,15, ,0
2,0001_1995042806,1,65,1665,1004,15, ,0
3,0001_1995042812,1,70,1665,1002,15, ,0
4,0001_1995042818,1,73,1662,1002,15, ,0
5,0001_1995042900,2,74,1655,998,18, ,0
6,0001_1995042906,2,73,1645,998,18, ,0
7,0001_1995042912,2,71,1637,998,18, ,0
8,0001_1995042918,2,69,1631,998,18, ,0
9,0001_1995043000,2,67,1627,998,18, ,0
10,0001_1995043006,2,66,1626,998,18, ,0
11,0001_1995043012,2,64,1623,998,18, ,0
12,0001_1995043018,2,59,1619,998,18, ,0
13,0001_1995050100,1,54,1616,1002,15, ,0
14,0001_1995050106,1,59,1619,1002,15, ,0
15,0001_1995050112,1,68,1617,1004,12, ,0
16,0001_1995050118,1,78,1613,1004,12, ,0
17,0001_1995050200,1,88,1608,1004,12, ,0
18,0001_1995050206,1,96,1601,1004,12, ,0
19,0001_1995050212,0,103,1592,1006,10, ,0
20,0001_1995050218,0,110,1582,1006,10, ,0
21,0001_1995050300,0,115,1577,1006,10, ,0
22,0001_1995050306,0,118,1571,1006,10, ,0
23,0001_1995050312,0,120,1565,1006,10, ,0
24,0001_1995050318,0,122,1559,1006,10, ,0
25,0001_1995050400,0,123,1552,1008,10, ,0
26,0002_1995060100,1,102,1295,1004,12, ,1
27,0002_1995060106,1,108,1284,1002,15, ,1
28,0002_1995060112,1,112,1276,1002,15, ,1
29,0002_1995060118,1,115,1264,1002,15, ,1
30,0002_1995060200,1,120,1250,1002,15, ,1
31,0002_1995060206,1,129,1231,1002,15, ,1
32,0002_1995060212,1,131,1223,1000,15, ,1
33,0002_1995060218,1,136,1212,1000,15, ,1
34,0002_1995060300,2,140,1206,998,18, ,1
35,0002_1995060306,2,145,1195,998,18, ,1
36,0002_1995060312,2,150,1190,995,20, ,1
37,0002_1995060318,2,157,1188,995,20, ,1
38,0002_1995060400,2,163,1184,995,20, ,1
