,name_datetime,I,LAT,LONG,PRES,WND,OWD,END_TAG
0,0001_1993030900,1,50,1690,1006,12, ,0
1,0001_1993030906,1,50,1680,1004,12, ,0
2,0001_1993030912,1,50,1670,1002,15, ,0
3,0001_1993030918,1,52,1660,1002,15, ,0
4,0001_1993031000,1,53,1650,1002,15, ,0
5,0001_1993031006,1,55,1645,1002,15, ,0
6,0001_1993031012,1,54,1640,1002,15, ,0
7,0001_1993031018,1,53,1635,1002,15, ,0
8,0001_1993031100,1,52,1630,1002,15, ,0
9,0001_1993031106,1,54,1623,1000,15, ,0
10,0001_1993031112,1,50,1620,1000,15, ,0
11,0001_1993031118,1,47,1621,1000,15, ,0
12,0001_1993031200,1,45,1625,1000,15, ,0
13,0001_1993031206,1,45,1625,1000,15, ,0
14,0001_1993031212,1,58,1620,1000,15, ,0
15,0001_1993031218,1,59,1610,1000,15, ,0
16,0001_1993031300,1,66,1595,1000,15, ,0
17,0001_1993031306,1,75,1585,1000,15, ,0
18,0001_1993031312,2,88,1569,995,20, ,0
19,0001_1993031318,2,100,1558,995,20, ,0
20,0001_1993031400,3,108,1546,992,25, ,0
21,0001_1993031406,3,117,1532,990,25, ,0
22,0001_1993031412,3,124,1524,990,25, ,0
23,0001_1993031418,3,129,1517,990,25, ,0
24,0001_1993031500,3,133,1507,990,25, ,0
25,0001_1993031506,3,136,1500,990,25, ,0
26,0001_1993031512,3,145,1496,990,25, ,0
27,0001_1993031518,3,154,1496,990,25, ,0
28,0001_1993031600,3,164,1500,990,25, ,0
29,0001_1993031606,3,168,1508,990,25, ,0
30,0001_1993031612,3,172,1512,990,25, ,0
31,0001_1993031618,3,176,1516,990,25, ,0
32,0001_1993031700,2,176,1516,995,20, ,0
33,0001_1993031706,2,176,1516,998,20, ,0
34,0001_1993031712,1,180,1520,1000,15, ,0
35,0002_1993041800,0,50,1610,1010,10, ,0
36,0002_1993041806,0,55,1605,1010,10, ,0
37,0002_1993041812,0,65,1598,1010,10, ,0
38,0002_1993041818,0,68,1585,1010,10, ,0
39,0002_1993041900,0,70,1570,1008,10, ,0
40,0002_1993041906,0,70,1560,1008,10, ,0
41,0002_1993041912,0,80,1550,1008,10, ,0
42,0002_1993041918,1,90,1540,1008,12, ,0
43,0002_1993042000,1,98,1532,1008,12, ,0
44,0002_1993042006,1,100,1520,1006,15, ,0
45,0002_1993042012,1,98,1513,1006,15, ,0
46,0002_1993042018,1,90,1506,1006,15, ,0
47,0002_1993042100,1,84,1500,1006,15, ,0
48,0002_1993042106,1,79,1490,1006,15, ,0
49,0002_1993042112,1,77,1484,1006,12, ,0
50,0002_1993042118,1,74,1477,1006,12, ,0
51,0002_1993042200,1,70,1470,1005,15, ,0
52,0002_1993042206,1,68,1462,1005,15, ,0
53,0002_1993042212,1,68,1462,1005,15, ,0
54,0002_1993042218,1,63,1455,1005,15, ,0
55,0002_1993042300,1,60,1445,1006,15, ,0
56,0002_1993042306,1,59,1435,1006,12, ,0
57,0003_1993061518,0,42,1565,1008,10, ,0
58,0003_1993061600,0,46,1568,1008,10, ,0
59,0003_1993061606,1,50,1571,1008,12, ,0
60,0003_1993061612,1,58,1572,1008,12, ,0
61,0003_1993061618,1,64,1570,1008,12, ,0
62,0003_1993061700,1,67,1566,1006,15, ,0
63,0003_1993061706,1,68,1559,1006,15, ,0
64,0003_1993061712,1,68,1552,1006,15, ,0
65,0003_1993061718,1,72,1548,1006,15, ,0
66,0003_1993061800,1,73,1543,1005,15, ,0
67,0003_1993061806,1,75,1539,1005,15, ,0
68,0003_1993061812,1,77,1533,1005,15, ,0
69,0003_1993061818,1,79,1522,1005,15, ,0
70,0003_1993061900,1,80,1510,1005,15, ,0
71,0003_1993061906,1,78,1502,1005,15, ,0
72,0003_1993061912,1,74,1492,1005,15, ,0
73,0003_1993061918,1,73,1479,1005,15, ,0
74,0003_1993062000,1,73,1473,1005,15, ,0
75,0003_1993062006,1,73,1467,1005,15, ,0
76,0003_1993062012,1,73,1462,1005,15, ,0
77,0003_1993062018,1,73,1458,1005,15, ,0
78,0003_1993062100,1,74,1452,1005,15, ,0
79,0003_1993062106,1,78,1439,1005,15, ,0
80,0003_1993062112,1,82,1428,1002,15, ,0
81,0003_1993062118,2,88,1416,995,20, ,0
82,0003_1993062200,2,97,1401,995,20, ,0
83,0003_1993062206,3,102,1390,990,25, ,0
84,0003_1993062212,3,106,1380,985,25, ,0
85,0003_1993062218,3,111,1367,975,30, ,0
86,0003_1993062300,4,117,1352,970,35, ,0
87,0003_1993062306,4,122,1343,960,40, ,0
88,0003_1993062312,4,127,1333,960,40, ,0
89,0003_1993062318,5,131,1321,950,45, ,0
90,0003_1993062400,5,134,1309,945,50, ,0
91,0003_1993062406,6,136,1298,935,55, ,0
92,0003_1993062412,6,140,1288,920,60, ,0
93,0003_1993062418,6,144,1274,920,60, ,0
94,0003_1993062500,6,150,1262,935,55, ,0
95,0003_1993062506,6,155,1251,935,55, ,0
96,0003_1993062512,5,163,1240,945,50, ,0
97,0003_1993062518,5,170,1226,945,50, ,0
98,0003_1993062600,5,172,1211,950,45, ,0
99,0003_1993062606,4,180,1200,960,40, ,0
100,0003_1993062612,4,190,1186,960,40, ,0
101,0003_1993062618,4,197,1170,960,40, ,0
102,0003_1993062700,4,200,1153,960,40, ,0
103,0003_1993062706,4,204,1140,960,40, ,0
104,0003_1993062712,4,213,1128,970,35, ,0
105,0003_1993062718,3,218,1113,975,30, ,0
106,0003_1993062800,2,227,1100,995,20, ,0
107,0003_1993062806,2,238,1096,995,20, ,0
108,0003_1993062812,1,238,1084,1000,15, ,0
109,0004_1993061700,0,94,1310,1008,10, ,0
110,0004_1993061706,0,90,1300,1008,10, ,0
111,0004_1993061712,1,98,1290,1006,12, ,0
112,0004_1993061718,1,105,1285,1006,12, ,0
113,0004_1993061800,1,110,1280,1006,12, ,0
114,0004_1993061806,1,112,1274,1004,15, ,0
115,0004_1993061812,1,115,1265,1004,15, ,0
116,0004_1993061818,1,121,1258,1004,15, ,0
117,0004_1993061900,1,127,1252,1008,12, ,0
118,0004_1993061906,1,136,1245,1008,12, ,0
119,0004_1993061912,1,140,1230,1008,12, ,0
120,0004_1993061918,1,143,1220,1008,12, ,0
121,0004_1993062000,0,143,1220,1008,10, ,0
122,0004_1993062006,0,150,1213,1006,10, ,0
123,0005_1993070700,1,93,1280,1006,12, ,1
124,0005_1993070706,1,99,1275,1006,12, ,1
125,0005_1993070712,1,107,1270,1006,12, ,1
126,0005_1993070718,1,113,1263,1006,12, ,1
127,0005_1993070800,1,120,1252,1004,12, ,1
128,0005_1993070806,1,129,1240,1002,15, ,1
129,0005_1993070812,1,132,1229,1000,15, ,1
130,0005_1993070818,1,135,1220,1000,15, ,1
131,0005_1993070900,2,141,1202,998,20, ,1
132,0005_1993070906,2,151,1187,995,20, ,1
133,0005_1993070912,3,159,1171,990,25, ,1
134,0005_1993070918,3,167,1153,990,25, ,1
135,0005_1993071000,3,175,1136,985,25, ,1
136,0005_1993071006,3,181,1119,985,25, ,1
137,0005_1993071012,3,183,1107,975,30, ,1
138,0005_1993071018,3,184,1095,980,30, ,1
139,0005_1993071100,3,186,1082,980,30, ,1
140,0005_1993071106,3,189,1073,985,25, ,1
141,0005_1993071112,3,190,1068,985,25, ,1
142,0005_1993071118,3,191,1064,985,25, ,1
143,0005_1993071200,2,192,1058,990,20, ,1
144,0005_1993071206,2,194,1045,990,20, ,1
145,0005_1993071212,1,194,1031,995,15, ,1
146,0006_1993071312,0,80,1384,1005,10, ,0
147,0006_1993071318,1,86,1361,1005,12, ,0
148,0006_1993071400,1,95,1342,1000,15, ,0
149,0006_1993071406,1,104,1332,1000,15, ,0
150,0006_1993071412,1,112,1320,1000,15, ,0
151,0006_1993071418,1,123,1308,1000,15, ,0
152,0006_1993071500,1,133,1297,1000,15, ,0
153,0006_1993071506,1,142,1285,1000,15, ,0
154,0006_1993071512,1,148,1273,1002,12, ,0
155,0006_1993071518,1,156,1261,1002,12, ,0
156,0006_1993071600,1,160,1251,1002,12, ,0
157,0006_1993071606,1,167,1240,1002,12, ,0
158,0006_1993071612,1,170,1230,1002,12, ,0
159,0006_1993071618,1,173,1217,1002,12, ,0
160,0006_1993071700,1,180,1200,1002,12, ,0
161,0007_1993071912,1,135,1502,1006,12, ,0
162,0007_1993071918,1,141,1492,1004,15, ,0
163,0007_1993072000,1,146,1485,1000,15, ,0
164,0007_1993072006,2,153,1474,992,20, ,0
165,0007_1993072012,2,158,1465,992,20, ,0
166,0007_1993072018,3,165,1455,990,25, ,0
167,0007_1993072100,3,174,1443,985,25, ,0
168,0007_1993072106,3,183,1430,985,25, ,0
169,0007_1993072112,3,191,1420,990,25, ,0
170,0007_1993072118,3,198,1410,990,25, ,0
171,0007_1993072200,3,204,1404,990,25, ,0
172,0007_1993072206,3,210,1405,990,25, ,0
