,name_datetime,I,LAT,LONG,PRES,WND,OWD,END_TAG
0,0001_1998070800,1,201,1183,1004,12, ,0
1,0001_1998070806,1,208,1188,1002,15, ,0
2,0001_1998070812,1,216,1187,1002,15, ,0
3,0001_1998070818,1,221,1186,1002,15, ,0
4,0001_1998070900,1,225,1186,1002,15, ,0
5,0001_1998070906,2,228,1190,998,18, ,0
6,0001_1998070912,2,229,1195,998,18, ,0
7,0001_1998070918,2,230,1203,998,18, ,0
8,0001_1998071000,2,239,1198,998,18, ,0
9,0001_1998071006,1,242,1193,1000,15, ,0
10,0001_1998071012,1,244,1191,1000,15, ,0
11,0001_1998071018,1,245,1187,1002,12, ,0
12,0001_1998071100,1,244,1181,1002,12, ,0
13,0002_1998070800,1,193,1287,1004,12, ,0
14,0002_1998070806,1,198,1290,1002,15, ,0
15,0002_1998070812,1,201,1289,1002,15, ,0
16,0002_1998070818,1,203,1287,1002,15, ,0
17,0002_1998070900,1,206,1283,1002,15, ,0
18,0002_1998070906,1,209,1280,1002,15, ,0
19,0002_1998070912,1,215,1273,1002,15, ,0
20,0002_1998070918,1,220,1267,1002,15, ,0
21,0002_1998071000,1,226,1257,1000,15, ,0
22,0002_1998071006,1,232,1249,1000,15, ,0
23,0002_1998071012,1,240,1240,1000,15, ,0
24,0002_1998071018,1,245,1230,1000,15, ,0
25,0002_1998071100,1,249,1221,1000,15, ,0
26,0003_1998080112,1,148,1274,1004,15, ,0
27,0003_1998080118,1,148,1270,1004,15, ,0
28,0003_1998080200,1,148,1266,1002,15, ,0
29,0003_1998080206,1,148,1258,1000,15, ,0
30,0003_1998080212,1,152,1252,1000,15, ,0
31,0003_1998080218,1,159,1248,1000,15, ,0
32,0003_1998080300,2,172,1246,995,18, ,0
33,0003_1998080306,2,187,1240,990,23, ,0
34,0003_1998080312,3,202,1232,985,25, ,0
35,0003_1998080318,3,214,1225,980,30, ,0
36,0003_1998080400,3,222,1219,980,30, ,0
37,0003_1998080406,3,234,1210,980,30, ,0
38,0003_1998080412,3,246,1200,985,25, ,0
39,0003_1998080418,2,255,1195,998,18, ,0
40,0003_1998080500,2,259,1187,998,18, ,0
41,0003_1998080506,1,262,1183,1000,12, ,0
42,0004_1998080612,1,125,1275,1004,12, ,0
43,0004_1998080618,1,135,1263,1004,12, ,0
44,0004_1998080700,1,145,1255,1000,15, ,0
45,0004_1998080706,1,155,1245,1000,15, ,0
