,name_datetime,I,LAT,LONG,PRES,WND,OWD,END_TAG
0,0001_2004021112,0,98,1450,1004,10, ,0
1,0001_2004021118,0,106,1438,1004,10, ,0
2,0001_2004021200,0,115,1425,1004,10, ,0
3,0001_2004021206,1,119,1416,1002,15, ,0
4,0001_2004021212,1,121,1402,1002,15, ,0
5,0001_2004021218,1,122,1385,1002,15, ,0
6,0001_2004021300,1,124,1374,1002,15, ,0
7,0001_2004021306,1,128,1368,1002,15, ,0
8,0001_2004021312,1,134,1360,1002,15, ,0
9,0001_2004021318,1,139,1354,1000,15, ,0
10,0001_2004021400,1,143,1353,1000,15, ,0
11,0001_2004021406,1,145,1354,1000,15, ,0
12,0001_2004021412,1,147,1355,1002,15, ,0
13,0001_2004021418,1,148,1358,1002,15, ,0
14,0001_2004021500,1,147,1365,1002,15, ,0
15,0001_2004021506,1,147,1368,1002,15, ,0
16,0001_2004021512,1,143,1370,1002,15, ,0
17,0001_2004021518,1,140,1366,1002,15, ,0
18,0001_2004021600,1,130,1360,1002,15, ,0
19,0001_2004021606,1,118,1355,1002,15, ,0
20,0001_2004021612,1,100,1350,1002,15, ,0
21,0002_2004031600,0,65,1380,1004,10, ,0
22,0002_2004031606,0,62,1374,1004,10, ,0
23,0002_2004031612,1,59,1367,1002,12, ,0
24,0002_2004031618,1,57,1360,1000,15, ,0
25,0002_2004031700,1,60,1350,1000,15, ,0
26,0002_2004031706,1,63,1340,1000,15, ,0
27,0002_2004031712,1,65,1337,1000,15, ,0
28,0002_2004031718,1,67,1330,1000,15, ,0
29,0002_2004031800,1,75,1317,1000,15, ,0
30,0002_2004031806,1,87,1305,1000,15, ,0
31,0002_2004031812,1,97,1294,1000,15, ,0
32,0002_2004031818,1,102,1288,1000,15, ,0
33,0002_2004031900,1,108,1281,1000,15, ,0
34,0002_2004031906,1,114,1276,998,15, ,0
35,0002_2004031912,1,118,1271,998,15, ,0
36,0002_2004031918,1,125,1265,998,15, ,0
37,0002_2004032000,1,133,1258,998,15, ,0
38,0002_2004032006,1,138,1253,998,15, ,0
39,0002_2004032012,1,142,1249,1000,15, ,0
40,0002_2004032018,1,147,1245,1000,15, ,0
41,0002_2004032100,1,153,1243,1000,15, ,0
42,0002_2004032106,1,156,1241,1000,15, ,0
43,0002_2004032112,1,160,1243,1000,15, ,0
44,0002_2004032118,1,165,1245,1000,15, ,0
45,0002_2004032200,1,167,1246,1002,12, ,0
46,0002_2004032206,1,169,1247,1002,12, ,0
47,0003_2004040218,0,64,1528,1004,10, ,1
48,0003_2004040300,0,63,1523,1004,10, ,1
49,0003_2004040306,1,64,1519,1004,12, ,1
50,0003_2004040312,1,66,1514,1004,12, ,1
51,0003_2004040318,1,65,1510,1002,12, ,1
52,0003_2004040400,1,65,1506,1002,15, ,1
53,0003_2004040406,1,67,1501,1000,15, ,1
54,0003_2004040412,1,71,1496,1000,15, ,1
55,0003_2004040418,1,78,1493,1000,15, ,1
56,0003_2004040500,2,84,1491,998,18, ,1
57,0003_2004040506,2,88,1488,995,20, ,1
58,0003_2004040512,2,93,1486,995,20, ,1
59,0003_2004040518,2,95,1477,990,23, ,1
60,0003_2004040600,3,93,1470,990,25, ,1
61,0003_2004040606,3,92,1462,990,25, ,1
62,0003_2004040612,3,95,1454,985,28, ,1
63,0003_2004040618,3,99,1449,980,30, ,1
64,0003_2004040700,3,100,1441,980,30, ,1
65,0003_2004040706,3,99,1430,980,30, ,1
66,0003_2004040712,3,97,1422,980,30, ,1
67,0003_2004040718,4,93,1415,975,33, ,1
68,0003_2004040800,4,91,1406,970,35, ,1
69,0003_2004040806,4,88,1398,960,40, ,1
70,0003_2004040812,4,88,1391,960,40, ,1
71,0003_2004040818,4,89,1385,960,40, ,1
72,0003_2004040900,5,91,1380,950,45, ,1
73,0003_2004040906,5,95,1372,950,45, ,1
74,0003_2004040912,5,99,1366,945,50, ,1
