,name_datetime,I,LAT,LONG,PRES,WND,OWD,END_TAG
0,0001_2001050912,1,118,1200,1004,12, ,0
1,0001_2001050918,1,123,1196,1004,12, ,0
2,0001_2001051000,1,131,1195,1004,12, ,0
3,0001_2001051006,1,141,1193,1002,15, ,0
4,0001_2001051012,1,153,1191,1002,15, ,0
5,0001_2001051018,1,162,1191,1002,15, ,0
6,0001_2001051100,1,171,1191,1000,15, ,0
7,0001_2001051106,2,176,1191,998,18, ,0
8,0001_2001051112,2,181,1192,998,18, ,0
9,0001_2001051118,2,185,1195,995,20, ,0
10,0001_2001051200,2,189,1199,990,23, ,0
11,0001_2001051206,2,195,1204,990,23, ,0
12,0001_2001051212,2,200,1210,990,23, ,0
13,0001_2001051218,2,205,1212,990,23, ,0
14,0001_2001051300,2,211,1217,990,23, ,0
15,0001_2001051306,3,221,1227,985,25, ,0
16,0001_2001051312,3,231,1236,985,25, ,0
17,0001_2001051318,3,243,1251,985,25, ,0
18,0001_2001051400,3,256,1265,985,25, ,0
19,0001_2001051406,2,267,1280,990,20, ,0
20,0001_2001051412,2,272,1291,998,18, ,0
21,0001_2001051418,1,274,1306,1000,15, ,0
22,0001_2001051500,1,275,1320,1002,15, ,0
23,0001_2001051506,1,277,1335,1002,15, ,0
24,0001_2001051512,1,277,1346,1004,12, ,0
25,0002_2001061918,1,119,1364,1004,12, ,0
26,0002_2001062000,1,121,1349,1002,15, ,0
27,0002_2001062006,2,131,1331,998,18, ,0
28,0002_2001062012,2,137,1314,995,20, ,0
29,0002_2001062018,2,141,1292,995,20, ,0
30,0002_2001062100,2,143,1278,990,23, ,0
31,0002_2001062106,2,151,1271,990,23, ,0
32,0002_2001062112,3,160,1259,985,25, ,0
33,0002_2001062118,3,172,1248,985,25, ,0
34,0002_2001062200,3,184,1235,980,30, ,0
35,0002_2001062206,4,195,1223,970,35, ,0
36,0002_2001062212,4,205,1212,970,35, ,0
37,0002_2001062218,4,210,1199,970,35, ,0
38,0002_2001062300,4,222,1194,960,40, ,0
39,0002_2001062306,4,234,1192,970,35, ,0
40,0002_2001062312,4,248,1194,970,35, ,0
41,0002_2001062318,3,265,1197,980,30, ,0
42,0002_2001062400,2,283,1204,990,23, ,0
43,0002_2001062406,2,301,1221,995,20, ,0
44,0002_2001062412,9,326,1244,998,18, ,0
45,0002_2001062418,9,356,1287,1000,15, ,0
46,0002_2001062500,9,371,1319,1000,15, ,0
47,0002_2001062506,9,380,1355,1000,12, ,0
48,0003_2001062906,1,160,1170,1002,15, ,0
49,0003_2001062912,1,160,1160,1000,15, ,0
50,0003_2001062918,1,163,1154,1000,15, ,0
51,0003_2001063000,1,166,1149,1000,15, ,0
52,0003_2001063006,2,173,1146,998,18, ,0
53,0003_2001063012,2,181,1144,990,23, ,0
54,0003_2001063018,2,188,1138,990,23, ,0
55,0003_2001070100,3,194,1130,985,25, ,0
56,0003_2001070106,3,198,1123,980,28, ,0
57,0003_2001070112,4,202,1116,975,33, ,0
58,0003_2001070118,4,208,1108,970,35, ,0
59,0003_2001070200,4,214,1098,975,33, ,0
60,0003_2001070206,3,216,1088,980,28, ,0
61,0003_2001070212,2,220,1080,990,23, ,0
62,0003_2001070218,2,223,1071,992,18, ,0
63,0003_2001070300,1,227,1065,995,15, ,0
64,0003_2001070306,1,227,1051,995,15, ,0
65,0003_2001070312,1,228,1045,998,15, ,0
66,0004_2001070106,1,72,1385,1000,15, ,0
67,0004_2001070112,1,78,1381,995,15, ,0
68,0004_2001070118,1,88,1378,995,15, ,0
69,0004_2001070200,2,105,1370,990,18, ,0
70,0004_2001070206,2,116,1361,990,20, ,0
71,0004_2001070212,2,125,1351,985,23, ,0
72,0004_2001070218,3,133,1336,980,25, ,0
73,0004_2001070300,3,140,1317,980,28, ,0
74,0004_2001070306,3,153,1297,975,30, ,0
75,0004_2001070312,4,163,1278,970,33, ,0
76,0004_2001070318,4,174,1261,965,35, ,0
77,0004_2001070400,4,184,1241,965,35, ,0
78,0004_2001070406,4,189,1221,965,35, ,0
79,0004_2001070412,4,192,1205,965,35, ,0
80,0004_2001070418,4,195,1199,965,35, ,0
81,0004_2001070500,4,205,1185,965,35, ,0
82,0004_2001070506,4,209,1175,965,35, ,0
83,0004_2001070512,4,212,1166,965,35, ,0
84,0004_2001070518,4,218,1160,965,35, ,0
85,0004_2001070600,3,228,1149,970,30, ,0
86,0004_2001070606,3,230,1135,980,25, ,0
87,0004_2001070612,2,233,1125,985,20, ,0
88,0004_2001070618,2,235,1114,988,18, ,0
89,0004_2001070700,1,238,1098,990,15, ,0
90,0004_2001070706,1,235,1084,992,15, ,0
91,0004_2001070712,1,236,1075,995,12, ,0
92,0004_2001070718,0,236,1065,997,10, ,0
93,0005_2001070800,1,128,1288,1004,12, ,0
94,0005_2001070806,1,145,1280,1004,12, ,0
95,0005_2001070812,1,158,1274,1004,12, ,0
96,0005_2001070818,1,168,1267,1004,15, ,0
97,0005_2001070900,1,175,1262,1004,15, ,0
98,0005_2001070906,1,182,1255,1002,15, ,0
99,0005_2001070912,1,189,1250,1000,15, ,0
100,0005_2001070918,1,196,1244,998,15, ,0
101,0005_2001071000,1,200,1240,998,15, ,0
102,0005_2001071006,2,204,1234,995,18, ,0
103,0005_2001071012,2,208,1228,995,18, ,0
104,0005_2001071018,2,213,1223,995,20, ,0
105,0005_2001071100,2,217,1220,995,20, ,0
106,0005_2001071106,2,222,1212,995,20, ,0
107,0005_2001071112,2,226,1206,996,18, ,0
108,0005_2001071118,2,230,1200,996,18, ,0
109,0005_2001071200,1,236,1194,998,15, ,0
110,0005_2001071206,1,246,1193,1000,12, ,0
111,0006_2001072106,1,240,1517,1008,12, ,0
112,0006_2001072112,1,245,1515,1006,15, ,0
113,0006_2001072118,1,248,1511,1004,15, ,0
114,0006_2001072200,1,250,1503,1000,15, ,0
