,name_datetime,I,LAT,LONG,PRES,WND,OWD,END_TAG
0,0001_2016052606,1,188,1148,1002,13, ,0
1,0001_2016052612,1,189,1136,1002,13, ,0
2,0001_2016052618,1,194,1127,1002,13, ,0
3,0001_2016052700,1,202,1122,998,15, ,0
4,0001_2016052706,1,213,1121,998,15, ,0
5,0001_2016052712,1,225,1123,1000,13, ,0
6,0001_2016052718,1,237,1126,1002,13, ,0
7,0001_2016052800,0,247,1134,1005,10, ,0
8,0001_2016052806,0,257,1146,1005,10, ,0
9,0002_2016070212,1,82,1453,1000,15, ,0
10,0002_2016070218,1,85,1452,1000,15, ,0
11,0002_2016070300,2,88,1450,998,18, ,0
12,0002_2016070306,2,92,1448,998,18, ,0
13,0002_2016070312,2,99,1442,995,20, ,0
14,0002_2016070318,2,109,1435,995,20, ,0
15,0002_2016070400,2,118,1423,995,20, ,0
16,0002_2016070406,2,128,1410,992,23, ,0
17,0002_2016070412,3,135,1396,990,25, ,0
18,0002_2016070418,3,145,1383,985,28, ,0
19,0002_2016070500,4,153,1366,975,33, ,0
20,0002_2016070506,4,163,1351,960,40, ,0
21,0002_2016070512,6,171,1336,940,52, ,0
22,0002_2016070518,6,180,1319,915,62, ,0
23,0002_2016070600,6,187,1302,905,68, ,0
24,0002_2016070606,6,195,1285,895,72, ,0
25,0002_2016070612,6,201,1270,895,72, ,0
26,0002_2016070618,6,207,1256,895,72, ,0
27,0002_2016070700,6,213,1244,895,72, ,0
28,0002_2016070706,6,216,1234,895,72, ,0
29,0002_2016070712,6,219,1227,895,72, ,0
30,0002_2016070718,6,224,1218,915,62, ,0
31,0002_2016070800,5,226,1207,950,45, ,0
32,0002_2016070806,4,232,1201,965,38, ,0
33,0002_2016070812,4,231,1198,975,33, ,0
34,0002_2016070818,3,233,1196,985,25, ,0
35,0002_2016070900,2,243,1191,990,23, ,0
36,0002_2016070906,2,247,1187,992,20, ,0
37,0002_2016070912,2,251,1181,995,18, ,0
38,0002_2016070918,1,258,1169,996,15, ,0
39,0002_2016071000,1,264,1165,998,13, ,0
40,0003_2016071700,1,193,1302,1002,13, ,0
41,0003_2016071706,1,202,1297,1000,15, ,0
42,0003_2016071712,1,215,1293,1000,15, ,0
43,0003_2016071718,1,227,1288,1002,13, ,0
44,0003_2016071800,1,237,1283,1002,13, ,0
45,0003_2016071806,1,249,1283,1002,13, ,0
46,0003_2016071812,1,263,1281,1002,13, ,0
47,0003_2016071818,1,272,1281,1002,13, ,0
48,0003_2016071900,1,278,1281,1002,13, ,0
49,0003_2016071906,1,284,1282,1002,13, ,0
50,0004_2016072218,1,248,1515,1004,13, ,0
51,0004_2016072300,1,254,1526,1004,13, ,0
52,0004_2016072306,1,263,1542,1000,15, ,0
53,0004_2016072312,1,274,1554,1000,15, ,0
54,0004_2016072318,2,285,1568,998,18, ,0
55,0004_2016072400,2,306,1582,998,18, ,0
56,0004_2016072406,2,330,1593,995,20, ,0
