,name_datetime,I,LAT,LONG,PRES,WND,OWD,END_TAG
0,0001_2006030406,1,50,1383,1000,15, ,0
1,0001_2006030412,1,55,1380,1000,15, ,0
2,0001_2006030418,1,66,1379,1000,15, ,0
3,0001_2006030500,1,69,1377,1000,15, ,0
4,0001_2006030506,1,72,1375,1000,15, ,0
5,0001_2006030512,1,75,1375,1000,15, ,0
6,0001_2006030518,1,66,1381,1002,12, ,0
7,0001_2006030600,1,52,1373,1002,12, ,0
8,0001_2006030606,1,46,1366,1002,12, ,0
9,0001_2006030612,1,44,1356,1002,12, ,0
10,0001_2006030618,1,42,1350,1002,12, ,0
11,0001_2006030700,1,41,1344,1004,12, ,0
12,0002_2006050806,1,87,1353,1000,15, ,0
13,0002_2006050812,1,86,1345,1000,15, ,0
14,0002_2006050818,1,85,1339,1000,15, ,0
15,0002_2006050900,1,83,1334,1000,15, ,0
16,0002_2006050906,1,84,1326,1000,15, ,0
17,0002_2006050912,2,86,1320,998,18, ,0
18,0002_2006050918,2,87,1315,995,20, ,0
19,0002_2006051000,2,91,1308,990,23, ,0
20,0002_2006051006,2,97,1299,990,23, ,0
21,0002_2006051012,3,98,1294,990,25, ,0
22,0002_2006051018,3,103,1289,985,28, ,0
23,0002_2006051100,3,109,1281,985,28, ,0
24,0002_2006051106,3,115,1268,985,28, ,0
25,0002_2006051112,3,120,1258,980,30, ,0
26,0002_2006051118,3,124,1247,985,28, ,0
27,0002_2006051200,3,127,1237,985,28, ,0
28,0002_2006051206,3,130,1226,980,30, ,0
29,0002_2006051212,3,130,1218,980,30, ,0
30,0002_2006051218,3,130,1212,980,30, ,0
31,0002_2006051300,3,134,1206,980,30, ,0
32,0002_2006051306,3,138,1194,980,30, ,0
33,0002_2006051312,4,139,1189,975,33, ,0
34,0002_2006051318,4,139,1182,970,35, ,0
35,0002_2006051400,4,139,1175,960,40, ,0
36,0002_2006051406,4,139,1166,960,40, ,0
37,0002_2006051412,5,139,1159,950,45, ,0
38,0002_2006051418,5,139,1155,940,50, ,0
39,0002_2006051500,5,141,1153,940,50, ,0
40,0002_2006051506,5,147,1152,940,50, ,0
41,0002_2006051512,5,154,1151,940,50, ,0
42,0002_2006051518,5,162,1150,940,50, ,0
43,0002_2006051600,5,169,1149,940,50, ,0
44,0002_2006051606,5,178,1149,950,45, ,0
45,0002_2006051612,5,188,1151,950,45, ,0
46,0002_2006051618,5,195,1153,950,45, ,0
47,0002_2006051700,5,205,1156,950,45, ,0
48,0002_2006051706,4,213,1160,960,40, ,0
49,0002_2006051712,4,224,1167,960,40, ,0
50,0002_2006051718,4,234,1170,960,35, ,0
51,0002_2006051800,2,245,1178,990,23, ,0
52,0002_2006051806,2,259,1192,996,20, ,0
53,0002_2006051812,2,292,1225,998,20, ,0
54,0002_2006051818,1,314,1234,998,15, ,0
55,0002_2006051900,9,316,1249,998,15, ,0
56,0002_2006051906,9,322,1268,998,15, ,0
57,0002_2006051912,9,328,1287,1000,15, ,0
58,0003_2006062406,1,108,1273,1004,12, ,0
59,0003_2006062412,1,114,1263,1004,12, ,0
60,0003_2006062418,1,118,1253,1004,12, ,0
61,0003_2006062500,1,119,1240,1004,12, ,0
62,0003_2006062506,1,120,1228,1004,12, ,0
63,0003_2006062512,1,124,1217,1004,12, ,0
64,0003_2006062518,1,129,1205,1004,12, ,0
65,0003_2006062600,1,135,1195,1000,15, ,0
66,0003_2006062606,1,145,1182,1000,15, ,0
67,0003_2006062612,1,153,1170,1000,15, ,0
68,0003_2006062618,1,159,1160,1000,15, ,0
69,0003_2006062700,1,166,1153,1000,15, ,0
70,0003_2006062706,2,173,1148,996,18, ,0
71,0003_2006062712,2,181,1138,996,18, ,0
72,0003_2006062718,2,184,1129,995,20, ,0
73,0003_2006062800,2,190,1119,995,20, ,0
74,0003_2006062806,2,197,1115,995,20, ,0
75,0003_2006062812,2,202,1109,995,20, ,0
76,0003_2006062818,1,206,1106,996,15, ,0
77,0003_2006062900,1,213,1105,998,12, ,0
78,0004_2006062906,1,60,1398,1004,12, ,0
79,0004_2006062912,1,60,1395,1004,12, ,0
80,0004_2006062918,1,61,1392,1000,15, ,0
81,0004_2006063000,1,62,1387,1000,15, ,0
82,0004_2006063006,1,66,1384,1000,15, ,0
83,0004_2006063012,1,70,1380,1000,15, ,0
84,0004_2006063018,2,75,1378,998,18, ,0
